노선번호,유형,종류,운행업체,분리노선,노선아이디,기점,종점,정류장수
급행8,좌석,급행,"세한여객㈜, 현대교통㈜, 세운버스㈜",방면없음,1000008000,달성2차산업단지,대곡역,33
급행8,좌석,급행,"세한여객㈜, 현대교통㈜, 세운버스㈜",용금공단->대곡역,1000008001,용금공단,대곡역,11
급행8,좌석,급행,"세한여객㈜, 현대교통㈜, 세운버스㈜",대곡역->용금공단,1000008002,대곡역(한라하우젠트건너),용금공단건너,10
급행8,좌석,급행,"세한여객㈜, 현대교통㈜, 세운버스㈜",용금공단<->대곡역,1000008003,용금공단,대곡역,21
달서1,일반,지선,"신흥버스㈜, 경신교통㈜, 현대교통㈜",방면없음,4030001000,대천동(공영차고지),매곡,119
달서4-1,일반,지선,"현대교통㈜, 남도버스㈜",방면없음,4030004100,남도버스,남도버스,95
달서5,일반,지선,"남도버스㈜, 세운버스㈜",방면없음,4030005000,대곡동,대곡동,75
동구2,일반,지선,"경북교통㈜, (주)신일여객",시청방면,4050002000,동호동(공영차고지),동호동(공영차고지),101
동구2,일반,지선,"경북교통㈜, (주)신일여객",북구청방면,4050002001,동호동(공영차고지),동호동(공영차고지),97
북구4,일반,지선,"동명교통㈜, 경신교통㈜",방면없음,4060004000,방천리(공영차고지),방천리(공영차고지),54
북구4,일반,지선,"동명교통㈜, 경신교통㈜",대구사격장경유,4060004001,방천리(공영차고지),방천리(공영차고지),60
북구4,일반,지선,"동명교통㈜, 경신교통㈜",사격장-북구청방면,4060004002,방천리(공영차고지),방천리(공영차고지),57
북구4,일반,지선,"동명교통㈜, 경신교통㈜",사격장-방천리방면,4060004003,방천리(공영차고지),방천리(공영차고지),57
순환3,일반,순환,"경북교통㈜, 신진자동차㈜",방면없음,2000003000,범물동,범물동,72
순환3-1,일반,순환,"(주)세진교통, 신진자동차㈜",방면없음,2000003100,범물동,범물동,72
팔공1,일반,지선,광남자동차㈜,동화사-칠성시장-동화사,4100001000,동화사,동화사,83
팔공1,일반,지선,광남자동차㈜,신무-칠성시장-신무,4100001001,신무동,신무동,73
팔공1,일반,지선,광남자동차㈜,능성-칠성시장-동화사,4100001002,능성동,동화사,86
팔공1,일반,지선,광남자동차㈜,평광-칠성시장-평광,4100001003,평광동,평광동,53
팔공1,일반,지선,광남자동차㈜,평광-칠성시장-동화사,4100001004,평광동,동화사,71
팔공1,일반,지선,광남자동차㈜,동화사-칠성시장-능성,4100001005,동화사,능성동,86
팔공1,일반,지선,광남자동차㈜,능성-칠성시장-평광,4100001006,능성동,평광동,70
팔공1,일반,지선,광남자동차㈜,평광-칠성시장-신무,4100001007,평광동,신무동,65
팔공1,일반,지선,광남자동차㈜,신무-칠성시장-능성,4100001008,신무동,능성동,82
팔공1,일반,지선,광남자동차㈜,동화사-칠성시장-평광,4100001009,동화사,평광동,67
팔공1,일반,지선,광남자동차㈜,평광-칠성시장-능성,4100001010,평광동,능성동,74
팔공1,일반,지선,광남자동차㈜,신무-칠성시장-동화사,4100001011,신무동,동화사,79
팔공1,일반,지선,광남자동차㈜,신무-칠성시장-평광,4100001012,신무동,평광동,63
팔공1,일반,지선,광남자동차㈜,동화사-칠성시장-신무,4100001013,동화사,신무동,77
팔공3,좌석,지선,"동명교통㈜, 영진교통㈜","팔공산맞춤노선(토,휴일,공휴일운행)",4110002000,칠곡경북대병원,갓바위,84
